Date,Id,Player1,Player2,Score1,Score2
Saturday December 8 2012,16919,[SKT],[STX],4,3
Sunday December 9 2012,16915,[Woongjin],[CJ],1,4
Saturday December 22 2012,16917,[KHAN],[KT],1,4
Wednesday May 1 2013,13969,Fenix,Minigun,1,2
Wednesday May 1 2013,13967,Apocalypse,Fenix,2,0
Wednesday May 1 2013,13981,Alicia,Maker.,2,0
Wednesday May 1 2013,13969,Fenix,Minigun,1,2
Wednesday May 1 2013,13968,NesTea,Apocalypse,2,0
Wednesday May 1 2013,13966,Minigun,NesTea,0,2
Thursday May 2 2013,13947,HerO,SpeCial.Sc2,2,0
Thursday May 2 2013,13948,KiLLeR,HerO,0,2
Thursday May 2 2013,13949,aLive,SpeCial.Sc2,2,0
Thursday May 2 2013,13950,KiLLeR,aLive,0,2
Thursday May 2 2013,13946,KiLLeR,aLive,2,1
Sunday May 5 2013,14155,puCK,ViBE,2,1
Sunday May 5 2013,14156,Maker.,Minigun,0,2
Sunday May 5 2013,14157,puCK,Minigun,2,1
Sunday May 5 2013,14158,ViBE,Maker.,1,2
Sunday May 5 2013,14159,Minigun,Maker.,2,1
Monday May 6 2013,13965,Ryung,hellokitty.,2,0
Monday May 6 2013,13964,hellokitty.,Heart,2,1
Monday May 6 2013,13963,Ryung,Suppy,0,2
Monday May 6 2013,13961,Suppy,Heart,2,0
Monday May 6 2013,13962,Ryung,hellokitty.,2,0
Tuesday May 7 2013,13951,State,Scarlett,0,2
Tuesday May 7 2013,13955,Scarlett,State,2,0
Tuesday May 7 2013,13954,State,Oz,2,1
Tuesday May 7 2013,13953,Scarlett,viOLet,1,2
Tuesday May 7 2013,13952,viOLet,Oz,2,0
Wednesday May 8 2013,13956,IdrA,Polt,0,2
Wednesday May 8 2013,13957,Revival,Goswser,1,2
Wednesday May 8 2013,13958,Polt,Goswser,2,0
Wednesday May 8 2013,13959,IdrA,Revival,0,2
Wednesday May 8 2013,13960,Goswser,Revival,0,2
Thursday May 9 2013,13976,Sen,Capoch,2,0
Thursday May 9 2013,13977,Crank,HuK,2,0
Thursday May 9 2013,13978,Sen,Crank,1,2
Thursday May 9 2013,13979,Capoch,HuK,0,2
Thursday May 9 2013,13980,Sen,HuK,2,1
Saturday May 11 2013,14164,Goswser,Neeb,2,0
Saturday May 11 2013,14160,Goswser,Hendralisk,2,1
Saturday May 11 2013,14161,Neeb,Drunkenboi,0,2
Saturday May 11 2013,14162,Goswser,Drunkenboi,0,2
Saturday May 11 2013,14163,Hendralisk,Neeb,1,2
Sunday May 12 2013,14165,Kane,MaSa,2,0
Sunday May 12 2013,14166,hellokitty.,Suppy,2,0
Sunday May 12 2013,14167,Kane,hellokitty.,2,0
Sunday May 12 2013,14168,Suppy,MaSa,2,0
Sunday May 12 2013,14169,hellokitty.,Suppy,2,1
Tuesday May 14 2013,14376,Soulkey,PartinG,3,2
Tuesday May 14 2013,14377,sOs.sc2,KangHo,3,2
Thursday May 16 2013,14378,RorO,INnoVation,0,3
Thursday May 16 2013,14379,Bomber,Symbol,1,3
Thursday May 16 2013,15078,SaSe,Mvp,0,2
Thursday May 16 2013,15079,LucifroN,Nerchio,2,0
Thursday May 16 2013,15080,LucifroN,Mvp,2,0
Thursday May 16 2013,15081,SaSe,Nerchio,2,0
Thursday May 16 2013,15082,Mvp,SaSe,2,0
Friday May 17 2013,15083,Feast,Stephano,1,2
Friday May 17 2013,15084,DIMAGA,ThorZaiN,1,2
Friday May 17 2013,15085,Stephano,ThorZaiN,2,1
Friday May 17 2013,14170,State,qxc,2,1
Friday May 17 2013,14171,Xenocider,rsvp,2,0
Friday May 17 2013,15086,DIMAGA,Feast,2,1
Friday May 17 2013,14172,State,Xenocider,2,0
Friday May 17 2013,15087,ThorZaiN,DIMAGA,1,2
Friday May 17 2013,14173,qxc,rsvp,2,0
Friday May 17 2013,14174,Xenocider,qxc,1,2
Sunday May 19 2013,15385,Goswser,Kane,3,4
Sunday May 19 2013,15386,State,Minigun,4,0
Tuesday May 21 2013,15361,NesTea,Snute,1,2
Tuesday May 21 2013,15362,Alicia,Sen,2,1
Tuesday May 21 2013,15363,Snute,Alicia,2,1
