Date,Id,Player1,Player1Region,Player1Race,Player2,Player2Region,Player2Race,Score1,Score2
Saturday December 8 2012,16919,[SKT],Korea Republic of,,[STX],Korea Republic of,,4,3
Sunday December 9 2012,16915,[Woongjin],International,,[CJ],Korea Republic of,,1,4
Saturday December 22 2012,16917,[KHAN],Korea Republic of,,[KT],Korea Republic of,,1,4
Wednesday May 1 2013,13981,Alicia,Korea Republic of,Protoss,Maker.,Mexico,Terran,2,0
Wednesday May 1 2013,13970,Apocalypse,Korea Republic of,Terran,Minigun,United States,Protoss,2,1
Wednesday May 1 2013,13969,Fenix,Peru,Terran,Minigun,United States,Protoss,1,2
Wednesday May 1 2013,13968,NesTea,Korea Republic of,Zerg,Apocalypse,Korea Republic of,Terran,2,0
Wednesday May 1 2013,13967,Apocalypse,Korea Republic of,Terran,Fenix,Peru,Terran,2,0
Wednesday May 1 2013,13966,Minigun,United States,Protoss,NesTea,Korea Republic of,Zerg,0,2
Thursday May 2 2013,13947,HerO,Korea Republic of,Protoss,SpeCial.Sc2,Mexico,Terran,2,0
Thursday May 2 2013,13948,KiLLeR,Chile,Zerg,HerO,Korea Republic of,Protoss,0,2
Thursday May 2 2013,13946,KiLLeR,Chile,Zerg,aLive,Korea Republic of,Terran,2,1
Thursday May 2 2013,13949,aLive,Korea Republic of,Terran,SpeCial.Sc2,Mexico,Terran,2,0
Thursday May 2 2013,13950,KiLLeR,Chile,Zerg,aLive,Korea Republic of,Terran,0,2
Sunday May 5 2013,14155,puCK,United States,Protoss,ViBE,United States,Zerg,2,1
Sunday May 5 2013,14157,puCK,United States,Protoss,Minigun,United States,Protoss,2,1
Sunday May 5 2013,14158,ViBE,United States,Zerg,Maker.,Mexico,Terran,1,2
Sunday May 5 2013,14156,Maker.,Mexico,Terran,Minigun,United States,Protoss,0,2
Sunday May 5 2013,14159,Minigun,United States,Protoss,Maker.,Mexico,Terran,2,1
Monday May 6 2013,13965,Ryung,Korea Republic of,Terran,hellokitty.,United States,Protoss,2,0
Monday May 6 2013,13964,hellokitty.,United States,Protoss,Heart,Korea Republic of,Terran,2,1
Monday May 6 2013,13963,Ryung,Korea Republic of,Terran,Suppy,United States,Zerg,0,2
Monday May 6 2013,13962,Ryung,Korea Republic of,Terran,hellokitty.,United States,Protoss,2,0
Monday May 6 2013,13961,Suppy,United States,Zerg,Heart,Korea Republic of,Terran,2,0
Tuesday May 7 2013,13951,State,United States,Protoss,Scarlett,Canada,Zerg,0,2
Tuesday May 7 2013,13954,State,United States,Protoss,Oz,Korea Republic of,Protoss,2,1
Tuesday May 7 2013,13952,viOLet,Korea Republic of,Zerg,Oz,Korea Republic of,Protoss,2,0
Tuesday May 7 2013,13953,Scarlett,Canada,Zerg,viOLet,Korea Republic of,Zerg,1,2
Tuesday May 7 2013,13955,Scarlett,Canada,Zerg,State,United States,Protoss,2,0
Wednesday May 8 2013,13958,Polt,Korea Republic of,Terran,Goswser,United States,Zerg,2,0
Wednesday May 8 2013,13956,IdrA,United States,Zerg,Polt,Korea Republic of,Terran,0,2
Wednesday May 8 2013,13957,Revival,Korea Republic of,Zerg,Goswser,United States,Zerg,1,2
Wednesday May 8 2013,13959,IdrA,United States,Zerg,Revival,Korea Republic of,Zerg,0,2
Wednesday May 8 2013,13960,Goswser,United States,Zerg,Revival,Korea Republic of,Zerg,0,2
Thursday May 9 2013,13976,Sen,Taiwan,Zerg,Capoch,Argentina,Protoss,2,0
Thursday May 9 2013,13977,Crank,Korea Republic of,Protoss,HuK,Canada,Protoss,2,0
Thursday May 9 2013,13978,Sen,Taiwan,Zerg,Crank,Korea Republic of,Protoss,1,2
Thursday May 9 2013,13979,Capoch,Argentina,Protoss,HuK,Canada,Protoss,0,2
Thursday May 9 2013,13980,Sen,Taiwan,Zerg,HuK,Canada,Protoss,2,1
Saturday May 11 2013,14164,Goswser,United States,Zerg,Neeb,United States,Terran,2,0
Saturday May 11 2013,14163,Hendralisk,Canada,Zerg,Neeb,United States,Terran,1,2
Saturday May 11 2013,14162,Goswser,United States,Zerg,Drunkenboi,Canada,Terran,0,2
Saturday May 11 2013,14161,Neeb,United States,Terran,Drunkenboi,Canada,Terran,0,2
Saturday May 11 2013,14160,Goswser,United States,Zerg,Hendralisk,Canada,Zerg,2,1
Sunday May 12 2013,14169,hellokitty.,United States,Protoss,Suppy,United States,Zerg,2,1
Sunday May 12 2013,14168,Suppy,United States,Zerg,MaSa,Canada,Terran,2,0
Sunday May 12 2013,14167,Kane,Canada,Zerg,hellokitty.,United States,Protoss,2,0
Sunday May 12 2013,14166,hellokitty.,United States,Protoss,Suppy,United States,Zerg,2,0
Sunday May 12 2013,14165,Kane,Canada,Zerg,MaSa,Canada,Terran,2,0
Tuesday May 14 2013,14376,Soulkey,Korea Republic of,Zerg,PartinG,Korea Republic of,Protoss,3,2
Tuesday May 14 2013,14377,sOs.sc2,Korea Republic of,Protoss,KangHo,Korea Republic of,Zerg,3,2
Thursday May 16 2013,14378,RorO,Korea Republic of,Zerg,INnoVation,Korea Republic of,Terran,0,3
Thursday May 16 2013,14379,Bomber,Korea Republic of,Terran,Symbol,Korea Republic of,Zerg,1,3
Thursday May 16 2013,15078,SaSe,Sweden,Protoss,Mvp,Korea Republic of,Terran,0,2
Thursday May 16 2013,15079,LucifroN,Spain,Terran,Nerchio,Poland,Zerg,2,0
Thursday May 16 2013,15080,LucifroN,Spain,Terran,Mvp,Korea Republic of,Terran,2,0
Thursday May 16 2013,15081,SaSe,Sweden,Protoss,Nerchio,Poland,Zerg,2,0
Thursday May 16 2013,15082,Mvp,Korea Republic of,Terran,SaSe,Sweden,Protoss,2,0
Friday May 17 2013,15083,Feast,Belgium,Protoss,Stephano,France,Zerg,1,2
Friday May 17 2013,15084,DIMAGA,Ukraine,Zerg,ThorZaiN,Sweden,Terran,1,2
Friday May 17 2013,15085,Stephano,France,Zerg,ThorZaiN,Sweden,Terran,2,1
Friday May 17 2013,14170,State,United States,Protoss,qxc,United States,Terran,2,1
Friday May 17 2013,14171,Xenocider,United States,Terran,rsvp,United States,Protoss,2,0
Friday May 17 2013,15086,DIMAGA,Ukraine,Zerg,Feast,Belgium,Protoss,2,1
Friday May 17 2013,14172,State,United States,Protoss,Xenocider,United States,Terran,2,0
Friday May 17 2013,15087,ThorZaiN,Sweden,Terran,DIMAGA,Ukraine,Zerg,1,2
Friday May 17 2013,14173,qxc,United States,Terran,rsvp,United States,Protoss,2,0
Friday May 17 2013,14174,Xenocider,United States,Terran,qxc,United States,Terran,1,2
Sunday May 19 2013,15385,Goswser,United States,Zerg,Kane,Canada,Zerg,3,4
Sunday May 19 2013,15386,State,United States,Protoss,Minigun,United States,Protoss,4,0
Tuesday May 21 2013,15361,NesTea,Korea Republic of,Zerg,Snute,Norway,Zerg,1,2
Tuesday May 21 2013,15362,Alicia,Korea Republic of,Protoss,Sen,Taiwan,Zerg,2,1
Tuesday May 21 2013,15363,Snute,Norway,Zerg,Alicia,Korea Republic of,Protoss,2,1
Tuesday May 21 2013,15364,NesTea,Korea Republic of,Zerg,Sen,Taiwan,Zerg,2,0
Tuesday May 21 2013,15365,Alicia,Korea Republic of,Protoss,NesTea,Korea Republic of,Zerg,2,0
Tuesday May 21 2013,14380,Soulkey,Korea Republic of,Zerg,sOs.sc2,Korea Republic of,Protoss,4,3
Tuesday May 21 2013,16523,Socke,Germany,Protoss,ToD,France,Protoss,1,2
Tuesday May 21 2013,16515,Shuttle,Korea Republic of,Terran,Uzer,Poland,Zerg,2,0
Tuesday May 21 2013,15387,Kane,Canada,Zerg,State,United States,Protoss,4,1
Tuesday May 21 2013,16513,ret,Netherlands,Zerg,Bischu,Sweden,Protoss,2,1
Tuesday May 21 2013,16530,DarkHydra,Germany,Terran,Grubby,Netherlands,Protoss,1,2
Wednesday May 22 2013,15366,TheSTC,Korea Republic of,Terran,Apocalypse,Korea Republic of,Terran,2,1
Wednesday May 22 2013,15367,Crank,Korea Republic of,Protoss,Moonglade,Australia,Zerg,2,1
Wednesday May 22 2013,15368,TheSTC,Korea Republic of,Terran,Crank,Korea Republic of,Protoss,0,2
Wednesday May 22 2013,15369,Apocalypse,Korea Republic of,Terran,Moonglade,Australia,Zerg,0,2
Wednesday May 22 2013,15370,TheSTC,Korea Republic of,Terran,Moonglade,Australia,Zerg,1,2
